 ,Label,Area,IntDen,RawIntDen,groupID,cultureID,normed,sequence,Label_group
,,,,,,,,,
1,MAX_post-1.tif,1223060.989,15849718.51,10178770,chamber1,1,1.005538738,post,chamber
,,,,,,,,,
2,MAX_post-2.tif,1223060.989,15534840.91,9976554,chamber1,2,0.950250356,post,chamber
,,,,,,,,,
3,MAX_pre-1.tif,1223060.989,15762414.63,10122703,chamber1,1,1,pre,chamber
,,,,,,,,,
4,MAX_pre-2.tif,1223060.989,16348155.85,10498869,chamber1,2,1,pre,chamber
,,,,,,,,,
1,MAX_post-1.tif,1223060.989,16535743.9,10619339,chamber2,1,1.019723956,post,chamber
,,,,,,,,,
2,MAX_post-2.tif,1223060.989,19291765.32,12389270,chamber2,2,0.947468603,post,chamber
,,,,,,,,,
3,MAX_post-3.tif,1223060.989,20957077.55,13458742,chamber2,3,0.992849488,post,chamber
,,,,,,,,,
4,MAX_pre-1.tif,1223060.989,16215902.15,10413935,chamber2,1,1,pre,chamber
,,,,,,,,,
5,MAX_pre-2.tif,1223060.989,20361376.89,13076180,chamber2,2,1,pre,chamber
,,,,,,,,,
6,MAX_pre-3.tif,1223060.989,21108010.64,13555672,chamber2,3,1,pre,chamber
,,,,,,,,,
1,MAX_post-1.tif,1223060.989,23049686.29,14802626,chamber3,1,0.947642744,post,chamber
,,,,,,,,,
2,MAX_post-2.tif,1223060.989,19455912.26,12494686,chamber3,2,0.85748178,post,chamber
,,,,,,,,,
3,MAX_post-3.tif,1223060.989,16465959.34,10574523,chamber3,3,0.934449085,post,chamber
,,,,,,,,,
4,MAX_pre-1.tif,1223060.989,24323181.32,15620471,chamber3,1,1,pre,chamber
,,,,,,,,,
5,MAX_pre-2.tif,1223060.989,22689592.61,14571372,chamber3,2,1,pre,chamber
,,,,,,,,,
6,MAX_pre-3.tif,1223060.989,17621034.26,11316318,chamber3,3,1,pre,chamber
,,,,,,,,,
1,MAX_post-1.tif,1223060.989,19796728.61,12713560,chamber4,1,1.100164278,post,chamber
,,,,,,,,,
2,MAX_post-2.tif,1223060.989,17318088.98,11121765,chamber4,2,0.962418753,post,chamber
,,,,,,,,,
3,MAX_post-3.tif,1223060.989,17460812.86,11213423,chamber4,3,0.964436986,post,chamber
,,,,,,,,,
4,MAX_pre-1.tif,1223060.989,17994338.68,11556056,chamber4,1,1,pre,chamber
,,,,,,,,,
5,MAX_pre-2.tif,1223060.989,17994338.68,11556056,chamber4,2,1,pre,chamber
,,,,,,,,,
6,MAX_pre-3.tif,1223060.989,18104669.47,11626911,chamber4,3,1,pre,chamber
,,,,,,,,,
1,MAX_post-2.tif,1223060.989,18232253.33,11708846,chamber1,1,0.984777092,post,dcEF
,,,,,,,,,
2,MAX_post-3.tif,1223060.989,18237806.07,11712412,chamber1,2,0.966821252,post,dcEF
,,,,,,,,,
3,MAX_pre-2.tif,1223060.989,18514091.64,11889844,chamber1,1,1,pre,dcEF
,,,,,,,,,
4,MAX_pre-3.tif,1223060.989,18863679.33,12114351,chamber1,2,1,pre,dcEF
,,,,,,,,,
1,MAX_post-1.tif,1223060.989,16865267.91,10830961,chamber2,1,0.907955787,post,dcEF
,,,,,,,,,
2,MAX_post-2.tif,1223060.989,17069535.99,10962143,chamber2,2,0.9382678,post,dcEF
,,,,,,,,,
3,MAX_post-3.tif,1223060.989,17688830.36,11359857,chamber2,3,1.169771027,post,dcEF
,,,,,,,,,
4,MAX_pre-1.tif,1223060.989,18574988.07,11928952,chamber2,1,1,pre,dcEF
,,,,,,,,,
5,MAX_pre-2.tif,1223060.989,18192605.56,11683384,chamber2,2,1,pre,dcEF
,,,,,,,,,
6,MAX_pre-3.tif,1223060.989,15121617.78,9711180,chamber2,3,1,pre,dcEF
,,,,,,,,,
1,MAX_post-1.tif,1223060.989,17499496.76,11238266,chamber3,1,0.953645588,post,dcEF
,,,,,,,,,
2,MAX_post-2.tif,1223060.989,15372044.01,9872005,chamber3,2,0.973577042,post,dcEF
,,,,,,,,,
3,MAX_pre-1.tif,1223060.989,18350105.09,11784531,chamber3,1,1,pre,dcEF
,,,,,,,,,
4,MAX_pre-2.tif,1223060.989,15789242.5,10139932,chamber3,2,1,pre,dcEF
,,,,,,,,,
1,MAX_post-1.tif,1223060.989,25217750.68,16194968,chamber1,1,1.464760126,post,LPS
,,,,,,,,,
2,MAX_post-2.tif,1223060.989,24145769.15,15506536,chamber1,2,1.412600441,post,LPS
,,,,,,,,,
3,MAX_post-3.tif,1223060.989,21860036.75,14038627,chamber1,3,1.342387655,post,LPS
,,,,,,,,,
4,MAX_post-4.tif,1223060.989,23491229.03,15086187,chamber1,4,1.345404936,post,LPS
,,,,,,,,,
5,MAX_pre-1.tif,1223060.989,17216300.63,11056396,chamber1,1,1,pre,LPS
,,,,,,,,,
6,MAX_pre-2.tif,1223060.989,17093134.37,10977298,chamber1,2,1,pre,LPS
,,,,,,,,,
7,MAX_pre-3.tif,1223060.989,16284444.12,10457953,chamber1,3,1,pre,LPS
,,,,,,,,,
8,MAX_pre-4.tif,1223060.989,17460341.05,11213120,chamber1,4,1,pre,LPS
,,,,,,,,,
1,MAX_post-1.tif,1223060.989,22983230.89,14759948,well1,1,1.366671849,post,LPS
,,,,,,,,,
2,MAX_post-2.tif,1223060.989,25381843.12,16300349,well1,2,1.512378366,post,LPS
,,,,,,,,,
3,MAX_post-3.tif,1223060.989,19184621.98,12320462,well1,3,1.096247841,post,LPS
,,,,,,,,,
4,MAX_post-4.tif,1223060.989,27467293.71,17639636,well1,4,1.665756588,post,LPS
,,,,,,,,,
5,MAX_pre-1.tif,1223060.989,16816934.44,10799921,well1,1,1,pre,LPS
,,,,,,,,,
6,MAX_pre-2.tif,1223060.989,16782733.53,10777957,well1,2,1,pre,LPS
,,,,,,,,,
7,MAX_pre-3.tif,1223060.989,17500259.76,11238756,well1,3,1,pre,LPS
,,,,,,,,,
8,MAX_pre-4.tif,1223060.989,16489380.21,10589564,well1,4,1,pre,LPS
,,,,,,,,,
1,MAX_post-1.tif,1223060.989,22587379.15,14505730,well5,1,1.358583196,post,LPS
,,,,,,,,,
2,MAX_post-2.tif,1223060.989,22748038.11,14608906,well5,2,1.323360493,post,LPS
,,,,,,,,,
3,MAX_post-3.tif,1223060.989,22851305.74,14675225,well5,3,1.191267167,post,LPS
,,,,,,,,,
4,MAX_post-4.tif,1223060.989,23909707.5,15354936,well5,4,1.391085186,post,LPS
,,,,,,,,,
5,MAX_pre-1.tif,1223060.989,16625687.13,10677101,well5,1,1,pre,LPS
,,,,,,,,,
6,MAX_pre-2.tif,1223060.989,17189600.44,11039249,well5,2,1,pre,LPS
,,,,,,,,,
7,MAX_pre-3.tif,1223060.989,19182351.67,12319004,well5,3,1,pre,LPS
,,,,,,,,,
8,MAX_pre-4.tif,1223060.989,17187809.73,11038099,well5,4,1,pre,LPS
