 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen,group
6,magnet1.tif,0.01,54.653,0,255,0.554,42927837,magnet
7,magnet2.tif,0.01,68.806,0,255,0.697,54043760,magnet
8,magnet3.tif,0.01,68.329,0,255,0.692,53669575,magnet
9,magnet4.tif,0.01,72.741,0,255,0.737,57134930,magnet
10,magnet5.tif,0.01,42.327,0,255,0.429,33246050,magnet
11,sti1.tif,0.01,68.233,0,255,0.691,53594252,dcEF
12,sti2.tif,0.01,63.907,0,255,0.648,50196420,dcEF
13,sti3.tif,0.01,77.629,0,255,0.787,60974530,dcEF
14,sti4.tif,0.01,62.194,0,255,0.63,48850325,dcEF
15,sti5.tif,0.01,56.614,0,255,0.574,44467700,dcEF
16,sti6.tif,0.01,42.567,0,255,0.431,33434495,dcEF
